gene_id,gene_name,nreg_total,resid_total,baseMean,shet,ess_hart,ess_cegv2,druggable
ENSG00000005469,CROT,109,-18.677063400932425,9.696428773746636,0.00031098,False,False,False
ENSG00000005483,KMT2E,494,199.67970484429082,97.37267504538269,0.48329357,False,False,False
ENSG00000005486,RHBDD2,179,37.420590266163046,12.48051392066519,0.04282391,False,False,False
ENSG00000005700,IBTK,143,-154.76507491001183,103.4043361646125,0.03808805,False,False,False
ENSG00000005801,ZNF195,73,-99.79470326388333,22.11073479149237,0.01146332,False,False,False
ENSG00000005810,MYCBP2,120,-63.693723246239855,26.100136650775987,0.19744149,False,False,False
ENSG00000005812,FBXL3,233,-60.13595236390093,96.97378869226948,0.27040694,False,False,False
ENSG00000005844,ITGAL,537,140.6991282985979,229.91318105988003,0.03670752,False,False,True
ENSG00000005882,PDK2,239,79.9580399067832,18.178210325279473,0.01074887,False,False,True
ENSG00000005884,ITGA3,116,4.211657635776337,6.288909236521581,0.03217701,False,False,True
ENSG00000005889,ZFX,72,-111.3502921011762,25.91785215724622,0.58157996,False,False,False
ENSG00000005893,LAMP2,341,53.31431393156619,91.57198974907361,0.07891515,False,False,False
ENSG00000005961,ITGA2B,7,-27.273908947904985,0.25696624389275613,0.01082003,False,False,True
ENSG00000006007,GDE1,231,11.119435158881046,43.27882506560667,0.00541901,False,False,False
ENSG00000006025,OSBPL7,59,-29.31585669612424,3.3719293570590403,0.04268409,False,False,False
ENSG00000006042,TMEM98,55,7.102857010785922,0.6268506288898941,0.01981842,False,False,False
ENSG00000006062,MAP3K14,110,-23.77314083824189,11.780809585251761,,False,False,False
ENSG00000006125,AP2B1,187,-53.968823137429936,55.635211963867604,0.15734093,False,False,False
ENSG00000006194,ZNF263,143,-38.74986717414623,25.75768981617207,0.01017258,False,False,False
ENSG00000006282,SPATA20,178,44.710835065411764,10.828880505615524,0.00113717,False,False,False
ENSG00000006327,TNFRSF12A,51,-8.461979405239434,1.2749138669993794,0.05697735,False,False,True
ENSG00000006432,MAP3K9,82,-19.122242243918354,4.798617809005134,0.05512385,False,False,False
ENSG00000006451,RALA,167,-83.0321003899799,63.194316830292344,0.51256059,False,False,False
ENSG00000006453,BAIAP2L1,29,-8.828261133985189,0.34360249992671416,0.01132451,False,False,False
ENSG00000006459,KDM7A,235,49.63063662423379,28.067446459221344,0.12695676,False,False,False
ENSG00000006530,AGK,388,127.89270296147659,83.94894761081011,0.00189305,False,False,False
ENSG00000006555,TTC22,146,32.394762061777,7.748789551177781,0.00073053,False,False,False
ENSG00000006576,PHTF2,355,60.098002919796585,98.58192326691916,0.04153188,False,False,False
ENSG00000006607,FARP2,116,-45.580710513928274,19.1087705528707,0.00095123,False,False,False
ENSG00000006625,GGCT,340,60.17080881742491,89.37776602727324,0.00063882,False,False,False
ENSG00000006634,DBF4,213,-46.28095080881141,69.4806384797286,0.06229428,False,False,False
ENSG00000006638,TBXA2R,94,20.397716178586336,2.4505465696674693,0.00192255,False,False,True
ENSG00000006652,IFRD1,301,64.42089690084316,56.98513549773821,0.03231279,False,False,False
ENSG00000006695,COX10,118,-126.12267788127885,60.004441480794874,0.01521682,False,True,False
ENSG00000006704,GTF2IRD1,107,28.080347624764308,2.484120438365492,0.07975953,False,False,False
ENSG00000006712,PAF1,122,-133.22096393088407,66.00967233938651,0.04237073,False,False,False
ENSG00000006715,VPS41,199,-16.16980459845,40.628464041522555,0.00651505,False,False,False
