gene_id,gene_name,nreg_Rest,resid_Rest,nreg_Stim8hr,resid_Stim8hr,nreg_Stim48hr,resid_Stim48hr,nreg_total,resid_total,baseMean,ess_hart,ess_cegv2,noness_negv1,shet
ENSG00000000419,DPM1,76,-15.050432941835567,108,-14.300730674005393,125,1.4927641523507162,309,-27.858399463490244,145.80383858136517,False,False,False,0.01727972
ENSG00000000457,SCYL3,30,-25.253038162740843,81,11.255166399755595,26,-24.76098760627086,137,-38.75885936925611,22.8928541871001,False,False,False,0.02650958
ENSG00000000460,C1orf112,132,57.30161736995218,68,-18.096216858552694,59,-24.308805101931597,259,14.896595409467892,57.67552361816435,False,False,False,0.00160927
ENSG00000000971,CFH,59,40.362521599887984,27,7.924471042437297,42,28.166076031249986,128,76.45306867357527,0.8163676268024189,False,False,False,0.04141488
ENSG00000001036,FUCA2,54,9.314221840702473,69,10.622217199019317,55,5.345832227163854,178,25.282271266885644,15.515315695117636,False,False,False,0.00090154
ENSG00000001084,GCLC,38,-25.638736619755704,77,-11.853875194936421,54,-8.090100208751906,169,-45.58271202344403,41.33590538754954,False,False,False,0.05208024
ENSG00000001460,STPG1,13,-17.666010487402044,32,-10.150511687047207,24,-10.123460618925385,69,-37.93998279337464,5.767350929450706,False,False,False,0.00043601
ENSG00000001461,NIPAL3,77,2.7274665117488297,76,6.161078323277209,49,-17.93514644858564,202,-9.046601613559602,39.34311660626358,False,False,False,0.01063301
ENSG00000001561,ENPP4,48,5.566155976082015,68,6.609000322787047,47,3.5049198064476244,163,15.680076105316687,13.874385257872826,False,False,False,0.02011596
ENSG00000001629,ANKIB1,22,-33.630110679992384,23,-53.396384382630615,19,-37.97932206756037,64,-125.00581713018337,28.270483770449,False,False,False,0.13911552
ENSG00000001630,CYP51A1,131,62.04553334749846,179,69.5593592877626,242,117.10387685069371,552,248.7087694859548,113.88717623920436,False,False,False,0.00455497
ENSG00000001631,KRIT1,56,-21.15832837653366,48,-51.33544689614439,32,-53.46586875489997,136,-125.95964402757802,71.21676414063768,False,False,False,0.04409453
ENSG00000002016,RAD52,9,-22.570908010094286,15,-30.862087165775485,28,-3.6905903255583326,52,-57.1235855014281,5.901652578546379,False,False,False,0.0036149
ENSG00000002330,BAD,34,-14.016305399150397,72,20.438526515936204,27,-15.625441599502672,133,-9.203220482716866,12.852231023006118,False,False,False,0.00263373
ENSG00000002549,LAP3,57,-14.88504145425567,80,-14.806931562426513,96,12.000826122554187,233,-17.691146894127996,62.84097696548232,False,False,False,0.00433538
ENSG00000002586,CD99,125,22.332222589731927,122,-5.045197978365408,144,32.50654367740795,391,49.793568288774466,152.09531660286595,False,False,False,0.00544635
ENSG00000002587,HS3ST1,2,-7.852458782920122,70,34.84807743900674,8,-1.9563274712885672,80,25.039291184798046,0.9561907791779461,False,False,False,0.02328602
ENSG00000002822,MAD1L1,134,52.00409908006519,89,22.77706061346383,69,13.174489291997617,292,87.95564898552664,38.42292778861715,False,False,False,0.00268128
ENSG00000002834,LASP1,63,-22.716530642234375,112,16.793051984091292,156,76.18949621601358,331,70.2660175578705,70.15940508159011,False,False,False,0.22687926
ENSG00000002919,SNX11,14,-32.27911999332095,39,-25.18900276781308,43,3.781025028569843,96,-53.68709773256418,14.61298500078624,False,False,False,0.00364936
ENSG00000003056,M6PR,122,18.182782965110533,129,-5.066990767010424,90,-4.232534193967069,341,8.88325800413304,150.46519486247507,False,False,False,0.03424717
ENSG00000003096,KLHL13,2,-7.346503146731877,2,-17.706943986858793,2,-7.434661397481003,6,-32.488108531071674,0.2926910663279211,False,False,False,0.05958148
ENSG00000003147,ICA1,47,21.913980830660908,45,8.77278085694229,26,3.2966968834267263,118,33.98345857102993,2.7867458649015817,False,False,False,0.03507832
ENSG00000003393,ALS2,36,-6.836003234881488,53,-6.422017912168101,38,-9.359992362479893,127,-22.618013509529483,14.574389831147084,False,False,False,0.02847873
ENSG00000003400,CASP10,86,12.919142747138963,128,69.00067242468029,56,-8.55959154139778,270,73.36022363042147,33.939781978659624,False,False,False,0.00024308
ENSG00000003509,NDUFAF7,23,-29.856960316535655,49,-23.133197253806713,19,-42.0269202903165,91,-95.01707786065887,27.016053897366724,False,False,False,0.00114242
